country,avg_teacher_sal
Australia,49144
Austria,45105
Belgium (Fl.),45413
Belgium (Fr.),44407
Canada,56349
Chile,23623
Czech Republic,20360
Denmark,50332
England,44269
Estonia,12306
Finland,40917
France,36159
Germany,64491
Greece,28184
Hungary,13115
Iceland,26991
Ireland,54954
Israel,24997
Italy,35922
Japan,45741
Korea,48146
Luxembourg,100013
Mexico,24910
Netherlands,63695
New Zealand,42241
Norway,37585
Poland,18806
Portugal,39424
Scotland,47984
Slovak Republic,12858
Slovenia,32193
Spain,45689
Sweden,35495
United States,45950
OECD average,39934
EU21,40526
Argentina,17819
Indonesia,2361
